prefeitura,cidade,populacao,area,descricao,clima,cultura
Aichi,Nagoya,7484000,5153,"Localizada perto do centro da ilha principal japonesa de Honshu, a Prefeitura de Aichi fica de frente para as Baías de Ise e Mikawa ao sul e faz fronteira com a Prefeitura de Shizuoka a leste, a Prefeitura de Nagano a nordeste, a Prefeitura de Gifu ao norte e a Prefeitura de Mie a oeste. O ponto mais alto é Chausuyama, a 1.415 m acima do nível do mar.

A parte ocidental da prefeitura é dominada por Nagoya, a terceira maior cidade do Japão, e seus subúrbios, enquanto a parte oriental é menos densamente povoada, mas ainda contém vários grandes centros industriais.

Em 1 de abril de 2012, 17% da área total da prefeitura foi designada como Parques Naturais.","O clima da província de Aichi é geralmente ameno, já que localizada em uma planície, Nagoya pode registrar algum clima relativamente quente durante o verão.","A prefeitura de Aichi tem orgulho de ser o local de nascimento de três figuras principais que levaram à unificação do Japão entre os séculos XVI e XVII : Oda Nobunaga, Toyotomi Hideyoshi e Tokugawa Ieyasu. Devido a isso, Aichi é às vezes considerada o lar do espírito samurai. Muitos museus e lugares comemorativos podem ser encontrados na prefeitura refazendo a história por trás das três figuras."
Hokkaido,Sapporo,5183000,83423,"A ilha de Hokkaido está localizada no extremo norte do Japão, perto da Rússia, e tem litorais no Mar do Japão, no Mar de Okhotsk e no Oceano Pacífico. O centro da ilha tem várias montanhas e planaltos vulcânicos e há planícies costeiras em todas as direções. As principais cidades incluem Sapporo e Asahikawa na região central e o porto de Hakodate de frente para Honshu. Além disso, as ilhas contam com seis vulcões ativos.
","Hokkaido é conhecida por seus verões relativamente frios e invernos gelados. No inverno, a forte queda de neve torna a região uma das mais atraentes para esquiar, atraindo turistas de toda a Ásia e Oceania.","A cultura de Hokkaido é fortemente ligada ao rico ambiente natural da prefeitura. É o lar dos Ainu, o povo indígena do Japão, que valoriza a harmonia com a natureza e tem uma cultura muito tradicional, bem diferente da dos japoneses."
Aomori,Aomori,1221000,9645,"A Prefeitura de Aomori está localizada na ponta mais ao norte de Honshu, de frente para Hokkaido, com o Estreito de Tsugaru no meio. A Prefeitura de Aomori tem uma natureza rica e variada de montanhas, parques e lagos.","O clima da prefeitura de Aomori é frio na maior parte, com uma temperatura média de 10°C. Variações no clima existem entre as partes leste (lado do Oceano Pacífico) e oeste (lado do Mar do Japão) da prefeitura. Isso se deve em parte às Montanhas Ou que correm de norte a sul e dividem as duas regiões. O lado oeste está sujeito a fortes monções e pouca luz solar. O lado leste recebe pouca luz solar durante os meses de verão, com temperaturas permanecendo relativamente baixas.","Aomori é bem conhecida por sua tradição de Tsugaru-jamisen, um estilo virtuoso de tocar shamisen (um instrumento musical japonês de três cordas). A prefeitura também é conhecida por seu Nobuta Matsuri, um dos festivais mais impressionantes do Japão com carros alegóricos gigantes de bravas figuras guerreiras sendo carregados pelo centro da cidade de Aomori."
Iwate,Morioka,1196000,15275,A Prefeitura de Iwate é a segunda maior prefeitura do Japão depois de Hokkaido e tem a menor densidade populacional de qualquer prefeitura fora de Hokkaido. A prefeitura tem uma paisagem montanhosa com picos de até 2.000 m.,"Invernos frios e com neve (algumas áreas podem registrar temperaturas tão baixas quanto -15°C), enquanto o efeito Foehn no verão proporciona temperaturas quentes durante o verão.","Em 2009, a UNESCO elegeu oficialmente o Hayachine Kagura como uma Obra-prima do Patrimônio Oral e Imaterial da Humanidade. Originária de Iwate, o Hayachine Kagura é uma dança teatral tradicional envolvendo dançarinos mascarados acompanhados por tambor, címbalos e flauta. A origem da dança está ligada à religião xintoísta e visava honrar os deuses. Kagura significa literalmente “entretenimento divino”."
Miyagi,Sendai,2290000,7282,"A Prefeitura de Miyagi fica na parte central da região de Tohoku, de frente para o Oceano Pacífico, e contém a maior cidade de Tohoku, Sendai. Há altas montanhas no oeste e ao longo da costa nordeste, mas a planície central ao redor de Sendai é bem grande.","Geralmente um clima ameno, mas as áreas ocidentais podem registrar uma quantidade maior de neve em comparação ao resto da província.","Sem dúvida, a Prefeitura de Miyagi evoca na mente dos japoneses a imagem de Date Masamune (1567-1636): um dos mais poderosos daimyo (senhores territoriais) do Japão naquela época e fundador da cidade de Sendai.
Graças à sua forte personalidade e histórico de batalhas bem-sucedidas, ele tem sido um personagem recorrente em muitos filmes, escritos e até mesmo videogames. Ele era facilmente reconhecido por seu capacete com uma lua crescente. Conhecido por seu alto nível de ética, um aforismo ainda citado é: ""A retidão levada ao excesso endurece em rigidez; a benevolência indulgente além da medida afunda em fraqueza""."
Akita,Akita,945000,11638,"Localizada no norte de Honshu, a Prefeitura de Akita fica de frente para o Mar do Japão a oeste e faz fronteira com outras quatro prefeituras: Aomori ao norte, Iwate a leste, Miyagi a sudeste e Yamagata ao sul. As Montanhas Ou marcam a fronteira leste da prefeitura, e as Montanhas Dewa, mais altas, correm paralelas pelo centro da prefeitura.","O clima em Akita é caracterizado por invernos longos e verões curtos. As regiões costeiras de Akita tendem a ser amenas, com uma corrente quente circulando pela área. Comparadas à costa, as regiões interiores da Prefeitura de Akita são mais quentes no verão e mais frias no inverno, com muita queda de neve.","Akita é famosa pelo cultivo de arroz e suas cervejarias de saquê, é bem conhecida por ter o maior consumo de saquê no Japão. Acredita-se também que Akita seja o lar das mulheres mais bonitas do Japão, conhecidas como ""Akita bijin"", ou ""belezas de Akita"", como a famosa poetisa Ono no Komachi (ca. 825 - ca. 900).
Acredita-se que a região seja a origem da raça de cachorro Akita, que leva o nome da prefeitura."
Yamagata,Yamagata,1055000,9325,"A Prefeitura de Yamagata está localizada no canto sudoeste de Tohoku, de frente para o Mar do Japão, 300 km ao norte de Tóquio. Faz fronteira com a Prefeitura de Niigata e a Prefeitura de Fukushima ao sul, a Prefeitura de Miyagi a leste e a Prefeitura de Akita ao norte. Todos esses limites são marcados por montanhas, com a maioria da população residindo em uma planície central limitada. Em 1º de abril de 2012, 17% da área total da prefeitura foi designada como Parques Naturais.","O clima da província de Yamagata é caracterizado por verões longos, quentes e úmidos e invernos longos e nevados. Tanto a primavera quanto o outono são curtos, o primeiro geralmente frio, o último geralmente quente, mas ambos são bastante secos e ensolarados. As temperaturas de inverno raramente caem abaixo de -10°C em áreas povoadas e frequentemente sobem acima de 30°C em julho e agosto.","O festival mais famoso em Yamagata é provavelmente o Hanagasa Matsuri: ao longo de três dias, quase 10.000 participantes dançam danças tradicionais chamadas Hanagasa enquanto desfilam pelas ruas. O festival é um dos três grandes da região de Tohoku e atrai cerca de 1.000.000 de espectadores de todo o Japão e do exterior."
Fukushima,Fukushima,1812000,13784,"Fukushima é tanto a prefeitura mais ao sul da região de Tohoku quanto a prefeitura da região de Tohoku mais próxima de Tóquio. É dividida por cadeias de montanhas em três áreas chamadas Aizu, a área mais montanhosa, Nakadori, o coração agrícola da prefeitura que contém a capital, e Hamadori, a área costeira. É a terceira maior prefeitura do Japão.","Clima tipicamente ameno, com diferenças entre o oeste montanhoso e o leste costeiro.","A província de Fukushima é o lar de muitos contos de fadas, como o da planície de Adachigahara. Esta história assustadora relata a jornada de um peregrino budista que se encontra com um goblin canibal na forma de uma velha que ataca os viajantes. Graças à sua forte crença no Buda, o peregrino consegue escapar com segurança."
Ibaraki,Mito,2852000,"6095,58","A parte norte até a parte noroeste é montanhosa. Rios correm por uma área de terra plana em uma bacia. As Montanhas Yamizo começam com o Monte Yamizo, a montanha mais alta da prefeitura (1.022 m) localizada na fronteira no noroeste, e a cordilheira se estende para o sul passando pela fronteira com a Prefeitura de Tochigi até o Monte Kaba e o Monte Tsukuba. As principais características na parte sudeste são o segundo maior lago do Japão, Kasumigaura, e outro lago chamado Kitaura. Há um litoral de 190 km de extensão na parte leste.","As temperaturas variam de norte a sul na prefeitura de Ibaraki, embora as temperaturas médias de inverno permaneçam acima de zero em todos os lugares de Ibaraki. A precipitação pode ser pesada na prefeitura, mas tende a ser mais pesada ao longo da costa e no norte montanhoso.","Ibaraki é conhecida no Japão por seu natto, ou soja e castanhas fermentadas; no mundo todo, Ibaraki é onde nasceu a arte marcial do Aikido, fundada por Ueshiba Morihei, também conhecido como Osensei.
A capital Mito abriga o Kairakuen, um dos três jardins mais famosos do Japão, famoso por ter mais de 3.000 ameixeiras japonesas de mais de 100 variedades."
Tochigi,Utsunomiya,1921000,"6408,28","Localizada no centro da prefeitura sem litoral está a maior planície aberta da região de Kanto. A parte norte é caracterizada por altas montanhas: Shirane (2.578 m), Nantai (2.484 m) e Nasudake (1.917 m).","O clima de Tochigi pode ser classificado como uma zona temperada úmida com amplas variações de temperatura. Os invernos são áridos com ventos secos, enquanto os verões são úmidos com tempestades frequentes. ","No início do século XVII, o Japão foi unificado pelo shogun Tokugawa Ieyasu. Após sua morte, o santuário Toshogu foi construído em Nikko no que os shoguns consideravam solo sagrado para proteger e adorar Ieyasu. Hoje, é um dos lugares mais turísticos do Japão. Um lema diz: Não diga ""magnífico"" até ter visto Nikko."
